"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",20636,39723,"091","05",19269,2319,8257,31333,10453,191,531,1168,1906
"2013",20371,41665,"093","05",20458,3400,11188,29047,15703,91,349,1702,2703
"2013",3199,7354,"095","05",4442,1049,2268,4546,3314,17,66,153,456
"2013",3646,8713,"097","05",5732,1859,2031,8913,55,104,113,354,198
"2013",3926,8272,"099","05",4563,941,2332,6017,2756,26,80,248,425
"2013",3493,7618,"101","05",4654,1147,1916,7808,23,53,7,32,167
"2013",11392,23274,"103","05",13095,2362,5847,14763,10331,71,57,437,1492
"2013",4487,9650,"105","05",4888,985,1587,9830,290,11,108,264,385
"2013",8892,19138,"107","05",10120,1781,7041,7702,13281,15,34,301,1782
"2013",4969,10418,"109","05",5566,1241,2737,10035,353,70,623,738,416
"2013",10419,22348,"111","05",10926,1557,6665,21957,1853,43,249,588,1338
"2013",8707,18862,"113","05",9992,1923,4711,19084,22,391,529,1223,617
"2013",30239,56904,"115","05",25596,2993,11455,56733,1982,429,1302,4497,2433
"2013",3650,7884,"117","05",4497,760,1790,7380,1085,0,41,80,193
"2013",195980,352798,"119","05",177114,23394,65283,229193,136311,1266,12204,22280,16849
"2013",7353,16352,"121","05",8501,1257,3809,17329,82,47,105,301,506
"2013",55083,101406,"125","05",45307,4020,9315,99969,5521,436,1884,4299,3541
"2013",4833,10279,"127","05",5178,854,2188,9950,16,165,591,795,447
"2013",3184,7435,"129","05",4890,1594,2090,7749,32,51,43,89,232
"2013",58647,115770,"131","05",54995,5701,26454,104959,7273,1313,7215,15953,3982
"2013",7596,15465,"133","05",6864,1119,4125,11486,736,236,4191,5392,870
"2013",6439,15855,"135","05",9801,2778,4062,16541,57,35,306,302,634
"2013",10753,25674,"123","05",10896,1538,6816,12454,14416,62,452,1179,1369
"2013",5057,11545,"137","05",6698,1563,3164,12149,13,19,103,180,319
"2013",18257,37733,"139","05",19598,3002,8734,26596,13575,229,368,1453,1867
"2013",6405,15629,"141","05",10312,3249,4120,16430,169,85,148,475,849
"2013",107214,189445,"143","05",88149,8935,41531,162894,7172,2262,30535,32544,8099
"2013",35315,71391,"145","05",32565,2933,12914,71393,3340,189,1170,3011,2539
"2013",3045,6547,"147","05",3890,820,1708,5009,1995,12,28,48,329
"2013",9344,20049,"149","05",9721,1804,4927,18259,457,101,2963,4208,780
"2013",817277,1411505,"001","06",584652,39581,188501,700110,185467,8919,550561,345847,84354
"2013",518,1122,"003","06",1835,1441,184,848,7,204,78,87,51
"2013",15155,35201,"005","06",18083,3821,4150,32766,923,700,1808,4710,2546
"2013",101512,202788,"007","06",96326,11510,43942,185351,2963,2353,16093,32084,14353
"2013",19905,42041,"009","06",27954,9252,4849,41320,386,430,1273,4794,2307
"2013",9975,19355,"011","06",7880,1027,2635,16642,193,200,3345,11953,1322
"2013",547881,979395,"013","06",401818,25963,111173,672957,97061,5420,233159,261427,56720
"2013",10274,26106,"015","06",11245,1652,5406,21356,908,1316,2356,5217,1268
"2013",92205,168528,"017","06",88228,20343,16206,158210,1705,1846,12919,22034,11030
"2013",425575,845521,"019","06",317740,27929,239584,560516,47790,9678,283321,477078,61663
