"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"ca-609",2016,2900,5,23,245,0,80,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-609",2017,3689,208,54,172,46,203,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-609",2018,3552,324,19,150,57,180,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-611",2014,983,27,0,344,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-611",2015,1041,42,46,365,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-611",2016,1493,22,19,364,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-611",2017,1429,78,50,151,178,5,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-611",2018,1662,98,45,193,175,14,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-612",2014,318,0,0,50,80,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-612",2015,240,0,3,48,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-612",2016,347,0,0,159,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-612",2017,227,14,0,64,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-612",2018,222,12,0,52,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-613",2014,206,0,0,135,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-613",2015,181,50,0,177,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-613",2016,246,0,0,126,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-613",2017,266,0,0,98,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-613",2018,300,0,0,98,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-614",2014,440,8,19,194,16,9,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-614",2015,666,0,0,166,0,196,"ca","hic extra",NA,NA,NA,NA,NA,NA
