"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-503",2017,4718,712,313,793,242,29,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-503",2018,5054,684,176,1292,139,40,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-504",2014,1898,193,75,660,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-504",2015,2242,0,793,711,40,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-504",2016,2223,0,465,705,40,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-504",2017,2298,251,155,778,40,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-504",2018,2328,314,91,957,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ca-505",2014,1724,74,4,417,31,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-505",2015,1886,102,36,594,30,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-505",2016,1619,175,0,476,30,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-505",2017,2030,115,0,531,30,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-505",2018,2042,56,26,617,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-506",2014,1211,52,0,411,41,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"ca-506",2015,1306,193,156,490,29,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"ca-506",2016,1613,112,6,535,51,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"ca-506",2017,1374,23,0,462,47,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"ca-506",2018,1345,109,0,435,51,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"ca-507",2014,1056,4,10,160,60,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-507",2015,1017,3,72,184,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-507",2016,996,27,45,178,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-507",2017,855,151,32,183,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-507",2018,1055,68,0,194,60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-508",2014,1060,116,0,477,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-508",2015,1145,123,32,477,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-508",2016,1227,100,109,471,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-508",2017,1379,32,10,383,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-508",2018,1409,0,29,435,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-509",2014,671,2,0,135,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-509",2015,581,2,0,140,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-509",2016,581,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-509",2017,566,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-509",2018,502,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-510",2014,1166,37,0,446,14,73,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-510",2015,1157,104,0,446,14,41,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-510",2016,1255,55,28,396,44,113,0,0,0,0,0,0,0,1,1,1,0,0,0,0
