"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-518",2019,0,0,0,0,0,0,240,99,88,0,382,809,0,0,1,1,0,0,0,0
"ca-519",2013,0,0,0,0,0,0,208,125,0,0,227,560,0,0,1,0,1,0,0,0
"ca-519",2014,0,0,0,0,0,0,208,111,0,0,241,560,0,0,1,0,1,0,0,0
"ca-519",2015,0,0,0,0,0,0,228,104,0,0,130,462,0,0,1,0,1,0,0,0
"ca-519",2016,0,0,0,0,0,0,229,116,5,0,291,646,0,0,1,0,1,0,0,0
"ca-519",2017,0,0,0,0,0,0,231,232,17,0,345,843,0,0,1,0,1,0,0,0
"ca-519",2018,0,0,0,0,0,0,220,189,35,0,368,865,0,0,1,0,1,0,0,0
"ca-519",2019,0,0,0,0,0,0,318,195,72,0,346,931,0,0,1,0,1,0,0,0
"ca-520",2013,0,0,0,0,0,0,93,109,0,0,21,223,0,0,1,1,0,0,0,0
"ca-520",2014,0,0,0,0,0,0,100,118,0,0,71,289,0,0,1,1,0,0,0,0
"ca-520",2015,0,0,0,0,0,0,104,120,63,0,78,365,0,0,1,1,0,0,0,0
"ca-520",2016,0,0,0,0,0,0,105,120,0,0,130,355,0,0,1,1,0,0,0,0
"ca-520",2017,0,0,0,0,0,0,76,72,0,0,130,278,0,0,1,1,0,0,0,0
"ca-520",2018,0,0,0,0,0,0,110,112,0,0,130,352,0,0,1,1,0,0,0,0
"ca-520",2019,0,0,0,0,0,0,248,112,46,0,163,569,0,0,1,1,0,0,0,0
"ca-521",2013,0,0,0,0,0,0,100,215,0,0,131,446,0,0,1,1,0,0,0,0
"ca-521",2014,0,0,0,0,0,0,99,207,48,0,82,436,0,0,1,1,0,0,0,0
"ca-521",2015,0,0,0,0,0,0,100,178,7,0,89,374,0,0,1,1,0,0,0,0
"ca-521",2016,0,0,0,0,0,0,186,169,1,0,72,463,0,0,1,1,0,0,0,0
"ca-521",2017,0,0,0,0,0,0,184,52,77,0,101,414,0,0,1,1,0,0,0,0
"ca-521",2018,0,0,0,0,0,0,157,87,75,0,132,451,0,0,1,1,0,0,0,0
"ca-521",2019,0,0,0,0,0,0,209,59,233,0,142,643,0,0,1,1,0,0,0,0
"ca-522",2013,0,0,0,0,0,0,35,163,0,0,102,300,0,0,1,0,1,0,0,0
"ca-522",2014,0,0,0,0,0,0,44,182,0,0,85,311,0,0,1,0,1,0,0,0
"ca-522",2015,0,0,0,0,0,0,36,184,33,0,89,342,0,0,1,0,1,0,0,0
"ca-522",2016,0,0,0,0,0,0,97,146,7,0,108,358,0,0,1,0,1,0,0,0
"ca-522",2017,0,0,0,0,0,0,293,105,59,0,55,512,0,0,1,0,1,0,0,0
"ca-522",2018,0,0,0,0,0,0,251,107,49,0,56,463,0,0,1,0,1,0,0,0
"ca-522",2019,0,0,0,0,0,0,299,97,93,0,56,545,0,0,1,0,1,0,0,0
"ca-525",2013,0,0,0,0,0,0,12,156,0,0,0,168,0,0,1,1,0,0,0,0
"ca-525",2014,0,0,0,0,0,0,52,87,0,0,0,139,0,0,1,1,0,0,0,0
"ca-525",2015,0,0,0,0,0,0,54,79,0,0,0,133,0,0,1,1,0,0,0,0
